cell,binary,pair,pos,method,payload_bytes,messages,vus,cores,exit,iterations,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
stream-medium,base,1,1,ClientStreamEcho,2000,5,16,0-7,0,374708.0,37470.8,10.014,69333.91,221558223752,395494867188,0,0,6501723807
stream-medium,cand,1,2,ClientStreamEcho,2000,5,16,0-7,0,381008.0,38100.8,10.014,70979.61,225382788746,399857130689,0,0,6610558684
stream-medium,cand,2,1,ClientStreamEcho,2000,5,16,0-7,0,350137.0,35013.7,10.014,59873.57,193217962301,367249043510,0,0,5772860416
stream-medium,base,2,2,ClientStreamEcho,2000,5,16,0-7,0,375375.0,37537.5,10.014,69607.53,222407365190,396141352604,0,0,6512758420
stream-medium,base,3,1,ClientStreamEcho,2000,5,16,0-7,0,375080.0,37508.0,10.014,69733.40,222492027410,396020819357,0,0,6538034592
stream-medium,cand,3,2,ClientStreamEcho,2000,5,16,0-7,0,372671.0,37267.1,10.014,68661.94,219030998784,390991158147,0,0,6375181652
stream-medium,cand,4,1,ClientStreamEcho,2000,5,16,0-7,0,379354.0,37935.4,10.014,70021.33,222560870173,397891940295,0,0,6555435947
stream-medium,base,4,2,ClientStreamEcho,2000,5,16,0-7,0,353372.0,35337.2,10.013,61388.63,197859556917,372883292622,0,0,6018753136
stream-medium,base,5,1,ClientStreamEcho,2000,5,16,0-7,0,344787.0,34478.7,10.015,59196.92,192565386482,363682598228,0,0,5808953393
stream-medium,cand,5,2,ClientStreamEcho,2000,5,16,0-7,0,358190.0,35819.0,10.014,63105.44,202848992936,375703975631,0,0,6025322427
