cell,binary,pair,pos,method,payload_bytes,messages,vus,cores,exit,iterations,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
stream-medium,base,1,1,ClientStreamEcho,2000,5,16,0-7,0,379160.0,37916.0,10.014,71986.23,230212792017,405189114988,0,0,6774957486
stream-medium,cand,1,2,ClientStreamEcho,2000,5,16,0-7,0,377893.0,37789.3,10.014,70152.55,223540844538,398806837257,0,0,6643548338
stream-medium,cand,2,1,ClientStreamEcho,2000,5,16,0-7,0,382027.0,38202.7,10.014,71180.13,227119522872,403159105975,0,0,6675980138
stream-medium,base,2,2,ClientStreamEcho,2000,5,16,0-7,0,356496.0,35649.6,10.014,64193.41,207364926981,380895613941,0,0,6129505400
stream-medium,base,3,1,ClientStreamEcho,2000,5,16,0-7,0,355854.0,35585.4,10.014,63649.15,205924513463,380155978200,0,0,6202969872
stream-medium,cand,3,2,ClientStreamEcho,2000,5,16,0-7,0,380190.0,38019.0,10.014,70584.20,225572334698,401178723950,0,0,6634008126
stream-medium,cand,4,1,ClientStreamEcho,2000,5,16,0-7,0,381213.0,38121.3,10.014,70911.36,226198707344,402349216075,0,0,6658545076
stream-medium,base,4,2,ClientStreamEcho,2000,5,16,0-7,0,378313.0,37831.3,10.014,71308.62,228058459883,404266324811,0,0,6748572460
stream-medium,base,5,1,ClientStreamEcho,2000,5,16,0-7,0,363342.0,36334.2,10.014,66914.21,215301809144,388329315459,0,0,6457105854
stream-medium,cand,5,2,ClientStreamEcho,2000,5,16,0-7,0,312952.0,31295.2,10.013,47586.60,158269460468,329962930566,0,0,4979111607
